30705|GRB 210824A: Nanshan/NEXT optical upper limit|GRB 210824A|https://gcn.gsfc.nasa.gov/gcn3/30705.gcn3|We observed the field of Swift GRB 210824A (Page et al. GCN Circ. 30700) using the NEXT-0.6m telescope located at Nanshan, Xinjiang, China. We obtained 10x200 s frames in the Sloan r-band, starting at 14:54:25 UT on 2021-08-24, i.e., 10.74 hr after the BAT trigger.No optical source is detected in our stacked image at the enhanced Swift/XRT position (Goad et al., GCN 30702), down to a limiting magnitude of r~21.1, calibrated with the nearby PanSTARRS field.
30684|GRB 210822A: Nanshan/NEXT optical observations|GRB 210822A|https://gcn.gsfc.nasa.gov/gcn3/30684.gcn3|We observed the field of GRB 210822A (Page et al., GCN 30677) using the NEXT-0.6m telescope located at Nanshan, Xinjiang, China. We obtained 15x100 s frames in the Sloan r-band and 10x100 s frames in the V-band, starting at 14:42:53 UT on 2021-08-22, i.e., 5.41 hr after the BAT trigger.The optical afterglow (e.g., Page et al., GCN 30677; Zheng & Filippenko, GCN 30679) of the burst is clearly detected in our stacked images. Preliminary photometry results are as follows:    Tmid (UT)            Tmid-T0(day)  Mag   MagErr  Filter2021-08-22T14:58:04    0.236      18.53    0.06      r2021-08-22T15:54:29    0.275      18.88    0.08      Vcalibrated with nearby PanSTARRS stars.
30669|GRB 210820A: Nanshan/NEXT optical upper limit|GRB 210820A|https://gcn.gsfc.nasa.gov/gcn3/30669.gcn3|We observed the field of GRB 210820A (Beardmore et al., GCN 30664) using the NEXT-0.6m telescope located at Nanshan, Xinjiang, China. We obtained 10x200 s frames in the Sloan r-band, starting at 21:17:58 UT on 2021-08-20, i.e., 3.67 hr after the BAT trigger.No optical source is detected in our stacked image at the Swift/UVOT position (Beardmore et al., GCN 30664), down to a limiting magnitude of r~21.3, calibrated with the nearby PanSTARRS field.
30504|GRB 210722A: Nanshan/NEXT further optical observations|GRB 210722A|https://gcn.gsfc.nasa.gov/gcn3/30504.gcn3|ed optical afterglow (e.g., D'Avanzo et al., GCN 30475; Zhu et al., GCN 30476) is not detected in our stacked image, down to a limiting magnitude of r~21.0, calibrated with the nearby PanSTARRS field.
30476|GRB 210722A: Nanshan/NEXT optical afterglow observations|GRB 210722A|https://gcn.gsfc.nasa.gov/gcn3/30476.gcn3|We observed the field of GRB 210722A (D'Avanzo et al., GCN 30475) using the NEXT-0.6m telescope located at Nanshan, Xinjiang, China. We obtained a series of 40 s, 60 s, 90 s frames in the Sloan r-band, starting at 20:56:45 UT on 2021-07-22, i.e., 123 s after the BAT trigger, among which part of the frames are useless due to the cloudy weather.An uncatalogued optical transient is detected at the Swift/UVOT position (D'Avanzo et al., GCN 30475) with varying brightness, and thus confirms it as the optical afterglow of the burst. Preliminary analysis of the beginning photometry is as follows:Tmid-T0(sec)  Mag    MagErr143               14.33    0.01361               13.94    0.01452               14.01    0.01All magnitudes are calibrated with the nearby PS1 field.
29956|GRB 210506A: Nanshan/NEXT optical upper limit|GRB 210506A|https://gcn.gsfc.nasa.gov/gcn3/29956.gcn3|We observed the field of GRB 210506A (Tohuvavohu, DeLaunay & Kennea, GCN 29947) using the NEXT-0.6m telescope located at Nanshan, Xinjiang, China. We obtained 9x300 s frames in the Sloan r-band, starting at 15:17:27 UT on 2021-05-06, i.e., 14.63 hr after the BAT trigger.No credible optical source is detected in our stacked image at the position of the XRT source #3 that lies in the BAT error circle (ref. https://www.swift.ac.uk/ToO_GRBs/00021430/ and Evans, GCN 29949), down to a limiting magnitude of r~21.7, calibrated with the nearby PanSTARRS field.
29700|GRB 210323A: Nanshan/NEXT optical upper limit|GRB 210323A|https://gcn.gsfc.nasa.gov/gcn3/29700.gcn3|We observed the field of GRB 210323A (Gropp et al., GCN 29699) using the NEXT-0.6m telescope located at Nanshan, Xinjiang, China. Observations automatically started at 22:03:49 UT on 2021-03-23 (i.e., 91 s after the BAT trigger), and 3x40 s, 4x60 s and 12x90 s frames were obtained in the Sloan r-filter.No optical source is detected in our stacked image at the XRT position (Gropp et al., GCN 29699), down to a limiting magnitude of r~20.4, calibrated with nearby PanSTARRS stars.
29623|GRB 210308A: Nanshan/NEXT optical upper limits|GRB 210308A|https://gcn.gsfc.nasa.gov/gcn3/29623.gcn3|We observed the field of GRB 210308A (D'Elia et al., GCN 29619) using the NEXT-0.6m optical telescope located at Nanshan, Xinjiang, China. Observations started at 14:16:29 UT on 2021-03-08, i.e., 7.67 hr after the BAT trigger. We obtained 15x200 s frames in the Sloan r- and i- bands, respectively.The optical afterglow (D'Elia et al., GCN 29619) of the burst is not detected in our stacked images, down to limiting magnitudes of r ~ 21.7 and i ~ 21.3, calibrated with nearby PS1 stars.
29607|GRB 210306A: NEXT optical observations|GRB 210306A|https://gcn.gsfc.nasa.gov/gcn3/29607.gcn3|ed optical afterglow (e.g., D'Elia et al., GCN 29597; Watson et al., GCN 29598; Romanov F., GCN 29599; Strausbaugh et al., GCN 29600; Hentunen et al., GCN 29603; Stecklum et al., GCN 29604) is clearly detected in our stacked image, with r = 21.0 +/- 0.1 mag at 12.76 hr post-burst, calibrated with nearby PS1 stars.
29551|GRB 210222B: NEXT early optical afterglow observations|GRB 210222B|https://gcn.gsfc.nasa.gov/gcn3/29551.gcn3|ed optical afterglow (Gropp et al., GCN 29545; Hu et al., GCN 29546; Strausbaugh et al., GCN 29547; Mong et al., GCN 29548, 29550; Perley et al., GCN 29549) is detected in the stacked images of the first three exposures, with r = 14.5 +/- 0.3 mag, calibrated with nearby PS1 stars.
29530|GRB 210218A: NEXT optical upper limit|GRB 210218A|https://gcn.gsfc.nasa.gov/gcn3/29530.gcn3|We observed the field of GRB 210218A (Sbarufatti et al., GCN 29529) using the NEXT-0.6m optical telescope located at Nanshan, Xinjiang, China. Observations automatically started at 13:36:52 UT on 2021-02-18, i.e., 93 s after the BAT trigger. We obtained 3x40 s, 4x60 s and 12x90 s frames in the Sloan r-filter.No credible optical transient is detected in our stacked image within the Swift/BAT error circle, down to a limiting magnitude of r ~ 20.4, calibrated with the nearby PanSTARRS field.
29523|GRB 210217A: NEXT early optical afterglow observations|GRB 210217A|https://gcn.gsfc.nasa.gov/gcn3/29523.gcn3|We observed the field of GRB 210217A (Simpson et al., GCN 29521) using the NEXT-0.6m optical telescope located at Nanshan, Xinjiang, China. Observations automatically started at 23:27:06 UT on 2021-02-17, i.e., 84 s after the BAT trigger. A series of 3x40 s, 4x60 s and 10x90 s frames in the Sloan r-filter have been obtained, and observations are ongoing.An uncatalogued decaying optical transient is detected at the Swift/UVOT position (Simpson et al., GCN 29521), which is thus concluded to be the optical afterglow of burst. The afterglow has r = 18.6 +/- 0.2 mag in our first image, calibrated with nearby PS1 stars.
29401|GRB 210205A: Nanshan/NEXT optical upper limit|GRB 210205A|https://gcn.gsfc.nasa.gov/gcn3/29401.gcn3|We observed the field of GRB 210205A (Dichiara et al., GCN 29397) using the NEXT-0.6m telescope located at Nanshan, Xinjiang, China. We obtained 3x40 s, 4x60 s, 12x90 s frames in the Sloan r-band, starting at 12:09:46 UT on 2021-02-05, i.e., 58.5 min after the BAT trigger.No optical source is detected in our stacked image at the enhanced XRT position (Osborne et al., GCN 29399), down to a limiting magnitude of r~19.9, calibrated with the nearby PanSTARRS field.
29252|GRB 210104A: Nanshan/NEXT optical powerlaw decay|GRB 210104A|https://gcn.gsfc.nasa.gov/gcn3/29252.gcn3|We observed the field of GRB 210104A (Troja et al., GCN 29233) using the NEXT-0.6m optical telescope located at Nanshan, Xinjiang, China. Observations started at 11:59:19 UT (i.e., 0.538 hr post-burst) on 2021-01-04 and ended at 22:34:07 UT (i.e., 11.11 hr post-burst) on 2021-01-04, and a series of 120 s, 200 s, 300 s Sloan r-band frames were obtained.Preliminary analysis of the data shows that afterglow is decaying as F_rband ~ t^(-\alpha), where \alpha = 0.73 since the very beginning of our observations.If the afterglow continues to decay in this way, it would be of r ~ 20.3 mag at 1 day post-burst, and still bright enough for optical spectroscopy.
29250|GRB 210104B: Nanshan/NEXT optical upper limit|GRB 210104B|https://gcn.gsfc.nasa.gov/gcn3/29250.gcn3|We observed the field of GRB 210104B (Laha et al., GCN 29243) using the NEXT-0.6m optical telescope located at Nanshan, Xinjiang, China. Observations automatically started at  UT on 2020-12-21, i.e., 75 s after the BAT trigger. We obtained a series of 40 s, 60 s and 90 s frames in the Sloan r-filter.No optical source is detected in our stacked image at the Swift/XRT position (Laha et al., GCN 29243), down to a limiting magnitude of r~21.0, calibrated with the nearby PanSTARRS field.
29203|GRB 201229A: Nanshan/NEXT optical upper limit|GRB 201229A|https://gcn.gsfc.nasa.gov/gcn3/29203.gcn3|We observed the field of GRB 201229A (Sbarufatti et al., GCN 29192) using the NEXT-0.6m telescope located at Nanshan, Xinjiang, China. We obtained 5 x 200 s frames in the Sloan r-band, starting at 19:52:23 UT on 2020-12-29, i.e., 8.88 hr after the burst.No optical source is detected in our stacked image at the Swift/UVOT position (Sbarufatti et al., GCN 29192), down to a upper limiting of r~20.4, calibrated with the nearby PanSTARRS field.
